,detector,text_id,score,fp,pp
278,GPT2Detector,grs_fp_0.2_1.3_res_0,0.9998252987861632,0.2,1.3
279,GPT2Detector,grs_fp_0.2_1.3_res_3,0.9184563159942628,0.2,1.3
280,GPT2Detector,grs_fp_0.2_1.4_res_0,0.9996373653411864,0.2,1.4
281,GPT2Detector,grs_fp_0.2_1.4_res_1,0.0011498928070068,0.2,1.4
282,GPT2Detector,grs_fp_0.2_1.4_res_3,0.0059882998466491,0.2,1.4
283,GPT2Detector,grs_fp_0.2_1.4_res_4,0.8875867128372192,0.2,1.4
284,GPT2Detector,grs_fp_0.2_1.5_res_2,0.0003421306610107,0.2,1.5
285,GPT2Detector,grs_fp_0.2_1.4_res_2,0.0001845955848693,0.2,1.4
286,GPT2Detector,grs_fp_0.2_1.5_res_0,0.9997766613960266,0.2,1.5
287,GPT2Detector,grs_fp_0.2_1.5_res_1,0.913205623626709,0.2,1.5
288,GPT2Detector,grs_fp_0.2_1.5_res_3,0.2464233040809631,0.2,1.5
289,GPT2Detector,grs_fp_0.2_1.5_res_4,0.973856508731842,0.2,1.5
290,GPT2Detector,grs_fp_0.2_1.6_res_0,0.9998220801353456,0.2,1.6
291,GPT2Detector,grs_fp_0.2_1.6_res_2,0.9998145699501038,0.2,1.6
292,GPT2Detector,grs_fp_0.2_1.6_res_3,0.9762527346611024,0.2,1.6
293,GPT2Detector,grs_fp_0.2_1.6_res_4,0.0133200287818908,0.2,1.6
294,GPT2Detector,grs_fp_0.2_1.6_res_1,0.7626093029975891,0.2,1.6
295,GPT2Detector,grs_fp_0.2_1.7_res_0,0.9998261332511902,0.2,1.7
296,GPT2Detector,grs_fp_0.2_1.7_res_3,0.9993045330047609,0.2,1.7
297,GPT2Detector,grs_fp_0.2_1.7_res_2,0.0020001530647277,0.2,1.7
298,GPT2Detector,grs_fp_0.2_1.7_res_1,0.0001786351203918,0.2,1.7
299,GPT2Detector,grs_fp_0.2_1.7_res_4,0.9998134970664978,0.2,1.7
300,GPT2Detector,grs_fp_0.2_1.8_res_0,0.0009652376174926,0.2,1.8
301,GPT2Detector,grs_fp_0.2_1.8_res_1,0.9998258948326112,0.2,1.8
302,GPT2Detector,grs_fp_0.2_1.8_res_2,0.000251829624176,0.2,1.8
303,GPT2Detector,grs_fp_0.2_1.8_res_3,0.998589813709259,0.2,1.8
304,GPT2Detector,grs_fp_0.2_1.8_res_4,0.8259171843528748,0.2,1.8
305,GPT2Detector,grs_fp_0.2_1.9_res_1,0.0749880075454711,0.2,1.9
306,GPT2Detector,grs_fp_0.2_1.9_res_0,0.5613694787025452,0.2,1.9
307,GPT2Detector,grs_fp_0.2_1.9_res_2,0.0049920082092285,0.2,1.9
308,GPT2Detector,grs_fp_0.2_1.9_res_4,0.961938500404358,0.2,1.9
309,GPT2Detector,grs_fp_0.2_1.9_res_3,0.7493965029716492,0.2,1.9
