detector,text_id,score,parameter name,parameter value,category
GPT2Detector,pp_0.6_arg_2,0.9998250603675842,pp,0.6,arg
GPT2Detector,pp_0.6_arg_3,0.9982129335403442,pp,0.6,arg
GPT2Detector,pp_0.6_res_0,0.9998039603233336,pp,0.6,res
GPT2Detector,pp_0.6_arg_4,0.9609708786010742,pp,0.6,arg
GPT2Detector,pp_0.6_res_1,0.9338895678520204,pp,0.6,res
GPT2Detector,pp_0.6_res_3,0.9676570296287536,pp,0.6,res
GPT2Detector,pp_0.6_res_2,0.9997891783714294,pp,0.6,res
GPT2Detector,pp_0.6_res_4,0.9998062252998352,pp,0.6,res
GPT2Detector,pp_0.7_arg_0,0.9998255372047424,pp,0.7,arg
GPT2Detector,pp_0.7_arg_1,0.9998212456703186,pp,0.7,arg
GPT2Detector,pp_0.7_arg_4,0.9998072981834412,pp,0.7,arg
GPT2Detector,pp_0.7_arg_2,0.9997857213020324,pp,0.7,arg
GPT2Detector,pp_0.7_arg_3,0.9990819692611694,pp,0.7,arg
GPT2Detector,pp_0.7_res_1,0.9292564392089844,pp,0.7,res
GPT2Detector,pp_0.7_res_0,0.999094009399414,pp,0.7,res
GPT2Detector,pp_0.7_res_2,0.999821960926056,pp,0.7,res
GPT2Detector,pp_0.7_res_3,0.9998258948326112,pp,0.7,res
GPT2Detector,pp_0.7_res_4,0.9998276233673096,pp,0.7,res
GPT2Detector,pp_0.8_arg_2,0.99982750415802,pp,0.8,arg
GPT2Detector,pp_0.8_arg_0,0.9998266100883484,pp,0.8,arg
GPT2Detector,pp_0.8_arg_1,0.9975500702857972,pp,0.8,arg
GPT2Detector,pp_0.8_arg_3,0.967808961868286,pp,0.8,arg
GPT2Detector,pp_0.8_arg_4,0.9997259974479676,pp,0.8,arg
GPT2Detector,pp_0.8_res_2,0.9997410178184508,pp,0.8,res
GPT2Detector,pp_0.8_res_0,0.9998170733451844,pp,0.8,res
GPT2Detector,pp_0.8_res_1,0.9998182654380798,pp,0.8,res
GPT2Detector,pp_0.8_res_3,0.9744812846183776,pp,0.8,res
GPT2Detector,pp_0.8_res_4,0.9998182654380798,pp,0.8,res
GPT2Detector,pp_0.9_arg_0,0.9996778964996338,pp,0.9,arg
GPT2Detector,pp_0.9_arg_2,0.9997634291648864,pp,0.9,arg
GPT2Detector,pp_0.9_arg_1,0.0001705884933471,pp,0.9,arg
GPT2Detector,pp_0.9_res_0,0.9998061060905457,pp,0.9,res
GPT2Detector,pp_0.9_arg_3,0.998251736164093,pp,0.9,arg
GPT2Detector,pp_0.9_arg_4,0.9986156225204468,pp,0.9,arg
GPT2Detector,pp_0.9_res_1,0.2968475818634033,pp,0.9,res
GPT2Detector,pp_0.9_res_2,0.999637007713318,pp,0.9,res
GPT2Detector,pp_0.9_res_3,0.9997686743736268,pp,0.9,res
GPT2Detector,pp_0.9_res_4,0.9998086094856262,pp,0.9,res
GPT2Detector,pp_1.0_arg_0,0.9998047947883606,pp,1.0,arg
GPT2Detector,pp_1.0_arg_1,0.0139678716659545,pp,1.0,arg
GPT2Detector,pp_1.0_arg_2,0.0026028156280517,pp,1.0,arg
GPT2Detector,pp_1.0_arg_3,0.996635377407074,pp,1.0,arg
GPT2Detector,pp_1.0_arg_4,0.9998248219490052,pp,1.0,arg
GPT2Detector,pp_1.0_res_0,0.999810755252838,pp,1.0,res
GPT2Detector,pp_1.0_res_1,0.3033158779144287,pp,1.0,res
GPT2Detector,pp_1.0_res_2,0.4922101497650146,pp,1.0,res
GPT2Detector,pp_1.0_res_4,0.9941589832305908,pp,1.0,res
GPT2Detector,pp_1.0_res_3,0.1344541907310485,pp,1.0,res
GPT2Detector,pp_1.1_arg_0,0.998163402080536,pp,1.1,arg
GPT2Detector,pp_1.1_arg_3,0.8170714378356934,pp,1.1,arg
GPT2Detector,pp_1.1_arg_1,0.5645585060119629,pp,1.1,arg
GPT2Detector,pp_1.1_arg_2,0.99982750415802,pp,1.1,arg
GPT2Detector,pp_1.1_arg_4,0.9998112320899964,pp,1.1,arg
GPT2Detector,pp_1.1_res_0,0.9995703101158142,pp,1.1,res
