,detector,text_id,score,Prompt Experiment
363,GPT2Detector,prt_stdreg_p_10,0.9995558857917786,Baseline regen
364,GPT2Detector,prt_stdreg_p_11,0.0007486939430236,Baseline regen
365,GPT2Detector,prt_stdreg_p_13,0.0002000927925109,Baseline regen
366,GPT2Detector,prt_stdreg_p_14,0.0066556930541992,Baseline regen
367,GPT2Detector,prt_stdreg_p_18,0.1836083531379699,Baseline regen
368,GPT2Detector,prt_stdreg_p_15,0.0022604465484619,Baseline regen
369,GPT2Detector,prt_stdreg_p_17,0.0102033019065856,Baseline regen
370,GPT2Detector,prt_stdreg_p_3,0.0002288222312927,Baseline regen
371,GPT2Detector,prt_stdreg_p_16,0.0052933096885681,Baseline regen
372,GPT2Detector,prt_stdreg_p_2,0.9492077231407166,Baseline regen
373,GPT2Detector,prt_stdreg_p_19,0.0001755356788635,Baseline regen
374,GPT2Detector,prt_stdreg_p_4,0.9998207688331604,Baseline regen
375,GPT2Detector,prt_stdreg_p_5,0.0001804232597351,Baseline regen
376,GPT2Detector,prt_stdreg_p_6,0.0066426396369934,Baseline regen
377,GPT2Detector,prt_stdreg_p_7,0.9997710585594176,Baseline regen
378,GPT2Detector,prt_stdreg_p_8,0.2661154270172119,Baseline regen
379,GPT2Detector,prt_stdreg_p_9,0.0023302435874938,Baseline regen
380,GPT2Detector,prt_std_p_0,0.999796450138092,Baseline prompt
381,GPT2Detector,prt_std_p_10,0.9997826218605042,Baseline prompt
382,GPT2Detector,prt_std_p_1,0.9991549253463744,Baseline prompt
383,GPT2Detector,prt_std_p_11,0.9998216032981871,Baseline prompt
384,GPT2Detector,prt_std_p_15,0.9998199343681335,Baseline prompt
